TIME,CP3,C3,F5,PO3,PO4,F6,C4,CP4
0,116.78278822735506,148.89147687246722,184.35045749290865,-67.80928083791713,106.85602782362142,-821.7722602080474,-1407.4138895838971,139.42394394056
1,628.1070416490045,347.264706621227,520.1009823673675,-596.7685121096664,356.2369280466187,-5374.18310873544,-8836.964850525805,619.4480151150152
2,1692.8380150406792,-477.0002079839725,-57.4926414174592,-2072.927360385174,411.4955447314751,-16835.664850240842,-26786.51905702924,1342.9493443031793
3,3349.888475819189,-2690.189365270629,-1889.2751505642057,-3928.2943019648446,516.8372555482956,-34416.97864737921,-53838.27827286409,2484.9432175133807
4,5507.733470007459,-4413.780401723008,-3026.6083152585616,-4617.795246140304,1787.7634932847134,-52136.640886714245,-81526.51588786553,4654.521326297718
5,7454.240759737477,-3983.940937635298,-1955.6068257633706,-3416.144328995914,4299.759825706505,-61995.80346041875,-97904.3179324037,7429.225175939835
6,8232.122628360776,-1652.1452568576437,755.3714862109964,-1021.0466525024212,6754.065241708696,-59435.0807831832,-95366.75936401228,9404.824628388367
7,7570.422428199681,1290.409374565945,3654.905250057683,1191.822057671032,7914.938534651352,-47061.663517745736,-77258.60524301561,9663.454188630332
8,5905.881805615554,2974.6798955689114,4915.388117164244,1940.1481606214281,7126.011528794756,-32549.775556560635,-54812.09028577004,8096.128730414037
9,4026.0507183328655,2315.342192068086,3657.6590337239586,1117.6190778587843,4826.611518198318,-22416.83783832967,-37953.504972500385,5483.338717575099
10,2696.9918650578147,503.89185297204835,1373.5134576985506,8.543861892245985,2641.4741551244306,-17681.147896943272,-29138.20863538504,3302.1116142858177
11,2104.4042639346003,-425.7759865950661,240.44021747363513,-216.30084108214078,1783.4826798518607,-14996.05001172854,-24220.403092606593,2399.913770192685
12,1788.8328493813056,24.88378944419503,629.9398327795127,337.90538657212437,1877.6444595092048,-11087.426613745338,-18181.154238936593,2253.2111715280084
13,1269.3287791993807,821.2757482514622,1312.0494361900378,868.7724400801706,1834.6967845867864,-5546.542821352825,-9707.776662327948,1898.0042213937659
14,508.11833588811663,1037.4018651883393,1310.1602673169934,947.777012281281,1196.801083027151,28.374163291758578,-823.3464678231385,1032.8405380094337
15,-244.33678773228476,717.535330749888,747.451819376852,752.7039189341655,304.3108692637881,4387.514485310115,6421.129997737155,19.016864635103616
16,-811.5230449013062,401.06617210379164,238.13757508041536,626.8595339758456,-376.417212128807,7636.269429759455,11875.253735065939,-753.6650338966328
17,-1220.6711984922388,357.20804659218004,54.514878984278646,676.4891916532827,-750.943312335832,10474.869925707648,16516.837449243678,-1247.430050544915
