TIME,CP3,C3,F5,PO3,PO4,F6,C4,CP4
0,151.92817026907053,-29.656165688946963,117.46625110780757,117.39922871789308,136.63134441837445,-756.2028510432804,-446.369933825214,-317.19545069067044
1,858.073344278485,-222.01726331517563,631.8610679090526,666.163493466623,748.6088386958427,-4509.328761896568,-2690.40375650769,-1881.4861875078911
2,2310.483093094322,-990.4260455189246,1405.898718200133,1812.5100464771954,1921.284311614384,-13266.542681386278,-8041.620768039968,-5427.976894823243
3,4190.987019255977,-3022.7389246981115,1546.2175955697783,3342.033071744042,3275.661866894732,-26869.114862209575,-16572.203150354384,-10633.468519608092
4,5957.1174411401025,-6404.410546898769,393.2444264581368,4839.573165969712,4379.73191824494,-42322.29681826444,-26475.177211690705,-16133.203293459625
5,6953.475073996362,-9847.081504765483,-1625.9622417778057,5746.184586377407,4860.585875272451,-53557.95189053251,-33837.431028376515,-19739.383723133124
6,6736.695930373928,-11597.161468902377,-3416.71074309916,5649.051323662527,4528.741406888984,-55186.45633099515,-35107.22624689729,-19761.17338530806
7,5583.470299337682,-10849.483409972985,-3976.520248603504,4729.167861969578,3689.0183941740365,-47376.92518731032,-30247.539970818634,-16591.726429788974
8,4180.99195588072,-8199.812710144692,-3099.200162584155,3542.055591543617,2822.5983957760354,-35086.76857634715,-22368.136000336228,-12194.719407932083
9,3015.168435476766,-5259.241992872199,-1671.654691408988,2529.5960741336107,2129.0340792599172,-24027.325271077578,-15225.106498341142,-8472.57262890906
10,2231.395626748252,-3464.0360180129665,-829.8177953482981,1860.84059578187,1598.106115326972,-17311.23176873783,-10931.31844799513,-6230.539481433674
11,1721.5826726198495,-2922.846129956367,-836.2341240692609,1452.6078720051064,1184.1041262888293,-14056.845579765182,-8923.079003171402,-5017.06891044055
12,1257.2080957029843,-2679.5751462910853,-1099.2228818077404,1087.1103499414976,813.8954266910484,-11215.707849581333,-7177.503398645857,-3854.920722460208
13,697.7366086398492,-1958.987584522613,-1050.297982065816,625.554436592754,423.3701799529813,-6932.000750228269,-4466.667370415875,-2240.0340872487495
14,89.3070551025483,-825.9661438691984,-674.8381773638527,108.76185329517517,20.172763498836986,-1777.3217643334337,-1170.7161693433968,-408.81380192392226
15,-454.8446380853,225.10720416917377,-291.76427339346793,-354.17570468464794,-350.30153968252375,2788.7199273583046,1744.550841230607,1189.4447695938306
16,-893.017825228818,940.3815774435558,-90.63515695490877,-720.3493642918581,-665.1235281323621,6193.671768621466,3900.399470429115,2405.7767586066448
17,-1256.281974288209,1443.5805537991635,-2.8478947410967024,-1018.9909708495212,-928.263393608149,8888.374790478829,5596.4957272647625,3392.071044921886
18,-1587.4341125386395,1922.085311670784,89.57069079073682,-1290.9332768293782,-1157.6904686639214,11427.929698467273,7198.975765066471,4319.425017869776
19,-1904.0432293934139,2421.811758604952,213.04419667456202,-1552.1639497898705,-1370.7137305531255,13928.878302677855,8781.1916319954,5219.897901435258
20,-2192.504900734822,2908.1572643977083,352.7481715771953,-1792.267117128994,-1564.3445680409259,16238.455155866248,10243.799030932478,6038.849026131791
21,-2434.5367693453945,3340.0947500545753,489.0907962093771,-1996.9231368869132,-1728.6951407725114,18223.63685336704,11502.733059627284,6734.418247083866
22,-2634.946538974039,3685.258979740393,592.9889682300968,-2168.5523107823747,-1872.2640805355304,19859.28313247888,12538.432510441067,7307.982473026268
23,-2807.50716455906,3954.6151077250847,666.2363930988865,-2316.194355076169,-2003.3991103241601,21213.480485271306,13392.618576844245,7783.913316241905
24,-2953.476948005889,4189.32200736596,740.1416874850239,-2439.4841100698104,-2111.448804752934,22369.814427884343,14123.190811773376,8183.8102174083
25,-3072.3428293512898,4396.271822378387,814.2718928764712,-2536.5244326863694,-2189.976344165138,23340.263525250102,14738.529108026854,8513.237864311963
26,-3168.1862876890837,4560.677030594728,869.3619150200473,-2611.04677040248,-2246.0853404909485,24098.556458549887,15218.127818932568,8767.980588210155
27,-3237.3309122249566,4692.695203123765,916.2866206826127,-2664.3938490301016,-2281.5857964671964,24656.491185033003,15570.881968409623,8949.633718241344
28,-3275.8555302918053,4797.882132682157,963.8764120854701,-2697.064704700069,-2298.9286856374692,25037.97252499594,15814.195945532909,9068.225448762721
29,-3292.1760294549576,4859.743954731179,996.4581015395047,-2715.386023481369,-2311.6265673671724,25247.180876418934,15947.292424017742,9133.159623129803
30,-3292.172414373241,4883.754628714714,1017.8551463790001,-2721.9158403226384,-2321.638663971301,25303.833054369657,15982.078350230977,9150.344836782237
31,-3272.213288728026,4886.339123253707,1040.9354350112933,-2710.982343914552,-2315.06035247431,25229.824881257697,15936.151666070877,9123.015642068123
32,-3235.1102809104596,4855.3867859297425,1047.893428548681,-2681.80807391221,-2289.984034213002,25012.595846194825,15800.208402652886,9049.492002397417
33,-3187.0066378326696,4787.007996455033,1030.788663519486,-2639.3672984860823,-2253.384822823187,24651.80809203884,15571.979739861212,8927.694303505625
34,-3124.3452557572627,4705.775405596873,1015.0886710109565,-2584.4547746069347,-2202.898186251705,24184.863810280487,15278.975274213699,8762.506366120135
35,-3045.9405921096204,4613.943732252007,1005.6692290561864,-2518.894001427987,-2141.4726361002995,23629.347549444334,14932.705546506095,8561.453536880565
36,-2959.1136738776777,4495.853795380604,987.0695185386203,-2448.941404507451,-2080.3267561850366,22980.434449654094,14525.157064117633,8328.75393073485
37,-2863.4510598220822,4362.27996502965,968.168487058115,-2373.5768818590595,-2015.363031797841,22255.63282297487,14067.742954383077,8068.431250305259
